"FINVOICE IMPLEMENTATION GUIDELINES VERSION 3.0 DATA LIST 17.12.2020","","","","","","","","",""
"","","","","","","","","",""
"3","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"3","CountryName","string","","0..35","0..1","Country name","","",""
"2","SellerHomeTownName","string","","0..35","0..1","Domicile","","Kotipaikka",""
"2","SellerVatRegistrationText","string","","0..35","0..1","Can be used for information that the registration is in process. (""Rekisteröinti vireillä"")"," ","",""
"2","SellerVatRegistrationDate","date","Yes","8","0..1","Date of registration","","",""
"","Attribute: Format","Enum.","","","1","CCYYMMDD","","",""
"2","SellerTaxRegistrationText","string","","0..35","0..1","Tax demand note(e.g. F-skattesedel)","BT-32","",""
"2","SellerAdditionalLegalInfo","string","","0..512","0..1","Additional legal information.","BT-33","",""
"2","SellerPhoneNumber","string","","0..35","0..1","Phone number","","Puh",""
"2","SellerFaxNumber","string","","0..35","0..1","Fax number","","Fax",""
"2","SellerCommonEmailaddressIdentifier","string","","0..70","0..1","Common Email address","","E-mail",""
"2","SellerWebaddressIdentifier","string","","0..70","0..1","Common web address","","www-osoite",""
"2","SellerFreeText","string","","0..512","0..1","Seller information","","",""
"2","SellerAccountDetails","Aggr.","","","0..n","Seller bank account details","BG-17","",""
"3","SellerAccountID","nmtoken","Yes","2..35","1","Seller´s account number","BT-84","",""
"","Attribute: IdentificationSchemeName","Enum.","","","1","IBAN or BBAN","","IBAN",""
"3","SellerBic","nmtoken","Yes","8..11","1","SWIFT-code of the seller`s bank","BT-86","BIC",""
"","Attribute: IdentificationSchemeName","Enum.","","","1","BIC","","",""
"3","SellerAccountName","string","","1..70","0..1","The name of the payment account","BT-85"," ",""
"2","InvoiceRecipientDetails","Aggr.","","","0..n","Invoice recipient's details.  Käytetään, kun sanoman vastaanottaja on muu kuin ostaja, esimerkiksi tilitoimisto tai muu ostajan puolesta toimiva osapuoli","","Laskutusosoite",""
"3","InvoiceRecipientAddress","string","","1..35","1","Receiving address of the seller for electronic invoices","","",""
"3","InvoiceRecipientIntermediatorAddress","nmtoken","","8..11","1","BIC","","",""
"1","InvoiceSenderPartyDetails","Aggr.","","","0..1","Used when other party than seller sends the invoice","","Laskun lähettäjä",""
"2","InvoiceSenderPartyIdentifier","string","Yes","0..35","0..1","Identification of sender Business ID (Business Identity Code = Y-tunnus in Finnish)","","Y-tunnus",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","InvoiceSenderOrganisationName","string","","2..35","1..n","Invoice sender's name",""," ",""
"2","InvoiceSenderOrganisationTaxCode","nmtoken","","0..35","0..1","VAT number, (Business ID with FI as a prefix)","","ALV-numero",""
"2","InvoiceSenderCode","string","Yes","0..70","0..1","Other party identification than Business Identity Code ","","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"1","InvoiceRecipientPartyDetails","Aggr.","","","0..1","This is used if the invoice is send to other than buyer eg. accounting company etc. or to the other department than buyer","","",""
"2","InvoiceRecipientPartyIdentifier","string","Yes","0..35","0..1","Identification of Invoice Recipient Business ID (Business Identity Code = Y-tunnus in Finnish)","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","InvoiceRecipientOrganisationName","string","","2..35","1..n","Name of recipient. Elementeissä annetaan samaan organisaatioon liittyvät nimet ja yksiköt.","","",""
"2","InvoiceRecipientDepartment","string","","0..35","0..2","Department information eg. Department or Unit",""," ",""
"2","InvoiceRecipientOrganisationTaxCode","nmtoken","","0..35","0..1","VAT number, (Business ID with FI as a prefix) ","","ALV-numero",""
"2","InvoiceRecipientCode","string","Yes","0..70","0..1","Other party identification than Business Identity Code ","","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","InvoiceRecipientPostalAddressDetails","Aggr.","","","0..1","Address information of recipient","","",""
"3","InvoiceRecipientStreetName","string","","2..35","1..3","Postal address","","Postiosoite",""
"3","InvoiceRecipientTownName","string","","2..35","1","Name of the town","","",""
"3","InvoiceRecipientPostCodeIdentifier","string","","2..35","1","Post code","","",""
"3","InvoiceRecipientCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","","",""
"3","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"3","CountryName","string","","0..35","0..1","Country name","","",""
"3","InvoiceRecipientPostOfficeBoxIdentifier","string","","0..35","0..1","PO box","","",""
"1","InvoiceRecipientOrganisationUnitNumber","string","","0..35","0..1","OVT code (OVT-tunnus),(SFS)","","OVT-tunnus",""
"1","InvoiceRecipientSiteCode","string","","0..35","0..1","Code for place of business","","Toimipiste",""
"1","InvoiceRecipientContactPersonName","string","","0..70","0..1","eg. person who made the order. Can be used for approval of  the invoice.","","Yhteyshenkilö",""
"1","InvoiceRecipientContactPersonFunction","string","","0..35","0..2","eg. title, remit","","",""
"1","InvoiceRecipientContactPersonDepartment","string","","0..35","0..2","depatment information eg. Deparment or unit","","",""
"1","InvoiceRecipientLanguageCode","nmtoken","","2","0..1","Language Code of the Invoice receiver. Use ISO 639 Language Codes e.g. FI, SV etc. This can be used for example when Finvoice is send to NetBank. Kuluttajan e-laskussa kieli määräytyy vastaanottajan verkkopankissa tai maksamisen verkkopalvelussa määritellyn kielikoodin perusteella.","","",""
"1","InvoiceRecipientCommunicationDetails","Aggr.","","","0..1","Related to the invoice recipient`s contact person","","",""
"2","InvoiceRecipientPhoneNumberIdentifier","string","","0..35","0..1","Phone number","","Puh",""
"2","InvoiceRecipientEmailaddressIdentifier","string","","0..70","0..1","email address","","E-mail",""
"1","BuyerPartyDetails","Aggr.","","","1","Buyer information.","BG-7","Ostaja",""
"2","BuyerPartyIdentifier","string","Yes","0..35","0..1","Identification of buyer Business ID (Business Identity Code = Y-tunnus in Finnish form: nnnnnnn-n)","BT-47","Y-tunnus",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","BuyerOrganisationName","string","","2..70","1..n","Name of Buyer","BT-44","",""
"2","BuyerOrganisationTradingName","string","","2..70","0..1","Buyer's Business name","BT-45","",""
"2","BuyerOrganisationDepartment","string","","0..35","0..2","Department information eg. Deparment or Unit","","",""
"2","BuyerOrganisationTaxCode","string","","0..35","0..1","VAT number, (Business ID with FI as a prefix) Ostajan arvolisäverotunniste (VatNumber) on merkittävä BuyerOrganisationTaxCode-elementtiin (esim. FI99999999), jos ostaja on verovelvollinen käännetyn verovelvollisuuden perusteella tai kysymys on yhteisömyynnistä. Lisäksi VatFreeTextiin lisätään maininta mahdollisesta verottomuuden perusteesta.","BT-48","ALV-numero",""
"2","BuyerCode","string","Yes","0..70","0..1","Other party identification than Business Identity Code ","BT-46","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","BuyerPostalAddressDetails","Aggr.","","","0..1","Buyers address information","BG-8","",""
"3","BuyerStreetName","string","","2..35","1..3","Postal address","BT-50-51, BT-163","",""
"3","BuyerTownName","string","","2..35","1","Name of the town","BT-52","",""
"3","BuyerPostCodeIdentifier","string","","2..35","1","Post code","BT-53","",""
"3","BuyerCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","BT-54","",""
"3","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","BT-55","",""
"3","CountryName","string","","0..35","0..1","Country name","","",""
"3","BuyerPostOfficeBoxIdentifier","string","","0..35","0..1","PO box","","",""
"1","BuyerOrganisationUnitNumber","string","","0..35","0..1","OVT code (OVT-tunnus), (SFS)","","OVT-tunnus",""
"1","BuyerSiteCode","string","","0..35","0..1","Code for place of business","","Toimipiste",""
"1","BuyerContactPersonName","string","","0..70","0..1","eg. person who made the order. Can be used for approval of  the invoice.","BT-56","",""
"1","BuyerContactPersonFunction","string","","0..35","0..2","eg. title, remit","","",""
"1","BuyerContactPersonDepartment","string","","0..35","0..2","Department information eg. Department or Unit","","",""
"1","BuyerCommunicationDetails","Aggr.","","","0..1","Related to the buyer`s contact person","BG-9","",""
"2","BuyerPhoneNumberIdentifier","string","","0..35","0..1","Phone number","BT-57","",""
"2","BuyerEmailaddressIdentifier","string","","0..70","0..1","email address","BT-58","",""
"1","DeliveryPartyDetails","Aggr.","","","0..1","If the product or service is delivered to other party than buyer, this part can be used","BG-13","Toimitusosoite",""
"2","DeliveryPartyIdentifier","string","Yes","0..35","0..1","Identification of delivery party Business ID (Business Identity Code = Y-tunnus in Finnish form: nnnnnnn-n)"," ","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","DeliveryOrganisationName","string","","2..35","1..n","Party to whom the product or service was delivered","BT-70","",""
"2","DeliveryOrganisationDepartment","string","","0..35","0..2","Department information eg. Deparment or Unit","","",""
"2","DeliveryOrganisationTaxCode","string","","0..35","0..1","VAT number, (Business ID with FI as a prefix)","","ALV-numero",""
"2","DeliveryCode","string","Yes","0..70","0..1","Other party identification than Business Identity Code ","","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","DeliveryPostalAddressDetails","Aggr.","","","1","Address details","BG-15","",""
"3","DeliveryStreetName","string","","2..35","1..3","Postal address","BT-75-76, BT-165","",""
"3","DeliveryTownName","string","","2..35","1","Name of the town","BT-77","",""
"3","DeliveryPostCodeIdentifier","string","","2..35","1","Post code","BT-78","",""
"3","DeliveryCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","BT-79","",""
"3","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","BT-80","",""
"3","CountryName","string","","0..35","0..1","Country name","","",""
"3","DeliveryPostofficeBoxIdentifier","string","","0..35","0..1","PO box","","",""
"1","DeliveryOrganisationUnitNumber","string","","0..35","0..1","OVT code (OVT-tunnus), (SFS)","","OVT-tunnus",""
"1","DeliverySiteCode","string","","0..35","0..1","Code for place of business","","",""
"1","DeliveryContactPersonName","string","","0..70","0..1","Delivery Contact person.","","",""
"1","DeliveryContactPersonFunction","string","","0..35","0..2","eg. title, remit","","",""
"1","DeliveryContactPersonDepartment","string","","0..35","0..2","Department information eg. Department or Unit","","",""
"1","DeliveryCommunicationDetails","Aggr.","","","0..1","Related to the delivery organisation`s contact person","","",""
"2","DeliveryPhoneNumberIdentifier","string","","0..35","0..1","Phone number","","",""
"2","DeliveryEmailaddressIdentifier","string","","0..70","0..1","email address","","",""
"1","DeliveryDetails","Aggr.","","","0..1","If the product or service is delivered to other party than buyer, this aggr. can be used.","","",""
"2","DeliveryDate","date","Yes","8","0..1","Date when the product or service is delivered. Note that this information can be also in InvoiceRow. ","BT-72","Toimituspäivä",""
"","Attribute: Format","Enum.","","","1","CCYYMMDD","","",""
"2","DeliveryPeriodDetails","Aggr.","","","0..1","Same level as delivery date. Note! This is alternative for delivery date. This information can be used in accounting (periodical)","","Jakso",""
"3","StartDate","date","Yes","8","1","Start of the period. "," ","",""
"","Attribute: Format","Enum.","","","1","CCYYMMDD","","",""
"3","EndDate","date","Yes","8","1","End of the period"," ","",""
"","Attribute: Format","Enum.","","","1","CCYYMMDD","","",""
"2","ShipmentPartyDetails","Aggr.","","","0..1","The forwarding agent","","Tavarantoimittaja",""
"3","ShipmentPartyIdentifier","string","Yes","0..35","0..1","Identification of Shipment party Business ID (Business Identity Code = Y-tunnus in Finnishform: nnnnnnn-n)","","Y-tunnus",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"3","ShipmentOrganisationName","string","","2..35","1..n","name of the shipment organisation","","",""
"3","ShipmentOrganisationDepartment","string","","0..35","0..2","Department information eg. Deparment or Unit","","",""
"3","ShipmentOrganisationTaxCode","string","","0..35","0..1","VAT number, (Business ID with FI as a prefix)","","ALV-numero",""
"3","ShipmentCode","string","Yes","0..70","0..1","Other party identification than Business Identity Code ","","",""
"","Attribute: IdentifierType","token","","1..20","0..1","e.g. DUNS, GLN, EDI","","",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"3","ShipmentPostalAddressDetails","Aggr.","","","0..1","The forwarding agents address information","","",""
"4","ShipmentStreetName","string","","2..35","1..3","Postal address","","",""
"4","ShipmentTownName","string","","2..35","1","Name of the town","","",""
"4","ShipmentPostCodeIdentifier","string","","2..35","1","Post code","","",""
"4","ShipmentCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","","",""
"4","CountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"4","CountryName","string","","0..35","0..1","Country name","","",""
"4","ShipmentPostOfficeBoxIdentifier","string","","0..35","0..1","PO box","","",""
"3","ShipmentSiteCode","string","","0..35","0..1","Code for place of business","","Toimipiste",""
"2","DeliveryMethodText","string","","0..512","0..1","etc. Train, aeroplane","","Toimitustapa",""
"2","DeliveryTermsText","string","","0..512","0..1","See Incoterms","","Toimitusehdot",""
"2","DeliveryTermsCode","string","","1..4","0..1","Deliveryterm code","","",""
"2","TerminalAddressText","string","","0..512","0..1","Terminal address","","Terminaaliosoite",""
"2","WaybillIdentifier","string","","0..70","0..1","Identifier of the waybill","BT-15","Rahtikirja",""
"2","WaybillTypeCode","string","","0..35","0..1","Code for referenced transport document","","Rahtikirjan tyyppi",""
"2","ClearanceIdentifier","string","","0..70","0..1","Custom identifier","","Kotitullauslupa",""
"2","DeliveryNoteIdentifier","string","","0..70","0..1","covering note (Lähetenumero) kuormakirja = lähetysluettelo (Dispatch advice)","BT-16","Lähete",""
"2","DelivererIdentifier","string","","0..35","0..1","Deliverer of the Goods or Services","","Y-tunnus",""
"2","DelivererName","string","","0..35","0..3","Name of the Deliverer","","Toimittaja",""
"2","DelivererCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","","",""
"2","DelivererCountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"2","DelivererCountryName","string","","0..35","0..1","Country name","","",""
"2","ModeOfTransportIdentifier","string","","0..70","0..1","Code for delivery method","","",""
"2","CarrierName","string","","0..35","0..1","Name of the carrier","","",""
"2","VesselName","string","","0..35","0..1","Name of the vessel","","",""
"2","LocationIdentifier","string","","0..70","0..1","Location identifier","","",""
"2","TransportInformationDate","date","Yes","8","0..1","Transportinformation date","","",""
"","Attribute: Format","Enum.","","","1","CCYYMMDD","","",""
"2","CountryOfOrigin","string","","0..35","0..1","Country name","","Alkuperämaa",""
"2","CountryOfDestinationName","string","","0..35","0..1","Country name","","",""
"2","DestinationCountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"2","PlaceOfDischarge","string","","0..35","0..3","Discharge place","","Välilastauspaikka",""
"2","FinalDestinationName","string","Yes","0..35","0..3","Final destination","BT-71","Määränpää",""
"","Attribute: SchemeID","iso6523cid","","4","0..1","Check instructions from EU Norm","","",""
"2","ManufacturerIdentifier","string","","0..35","0..1","Identification of manufactoring Business ID (Business Identity Code = Y-tunnus in Finnish form: nnnnnnn-n)","","Y-tunnus",""
"2","ManufacturerName","string","","0..35","0..3","Manufacturer of the goods","","Valmistaja",""
"2","ManufacturerCountrySubdivision","string","","2..35","0..1","The subdivision of a country.","","",""
"2","ManufacturerCountryCode","nmtoken","","2","0..1","ISO 3166-1 country codes eg. FI, SE","","",""
"2","ManufacturerCountryName","string","","0..35","0..1","Country name","","",""
"2","ManufacturerOrderIdentifier","string","","0..70","0..1","Order number given by the manufactorer","","Valm. Tilausviite",""
"2","PackageDetails","Aggr.","","","0..1","Package information, use International System of Units (SI-järjestelmän koodit) eihter in Finnish or english","","",""
"3","PackageLength","string","Yes","0..14","0..1","length","","Pituus",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","mm, cm, m","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","PackageWidth","string","Yes","0..14","0..1","width","","Leveys",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","mm, cm, m","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","PackageHeight","string","Yes","0..14","0..1","heigth","","Korkeus",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","mm, cm, m","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","PackageWeight","string","Yes","0..14","0..1","Gross","","Bruttopaino",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","g, kg,","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","PackageNetWeight","string","Yes","0..14","0..1","Net","","Nettopaino",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","g, kg,","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","PackageVolume","string","Yes","0..14","0..1","Volume","","Tilavuus",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","cm3, m3","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","check instructions from EU Norm","","",""
"3","TransportCarriageQuantity","string","Yes","0..14","0..1","Number of transport carriages","","Kollilkm",""
"","Attribute: QuantityUnitCode","token","","0..14","0..1","Number of items ( eg. Pcs, unit, piece)","","",""
"","Attribute: QuantityUnitCodeUN","unitCodeUN","","2..3","0..1","","","",""
"1","AnyPartyDetails","Aggr.","","","0..n","Any party details. The sector of business is responsible for maintaining the data contents and description. AnyPartyText-elementissä annetaan otsikko ja AnyPartyCode-attribuutissa otsikkoa vastaava koodi osapuolelle. Otsikko ja koodi tulostetaan laskun ulkoasussa. Tätä rakennetta käytetään mm. EN16931 osapuolissa: MUU MAKSUNSAAJA (BG-10) JA MYYJÄN VEROEDUSTAJA (BG-11) ","BG-10, BG-11","",""
"2","AnyPartyText","string","Yes","0..35","1","Defined by the industy concerned","","",""
"","Attribute: AnyPartyCode","token","","0..35","1","Defined by the industy concerned. EN 16931 MUU MAKSUNSAAJA: PaymentReceiver JA VEROEDUSTAJA SellerTaxRepr","BT-60","","poistettu SellerTaxRepr sanan perästä piste"
